"obs_time","temp","swdown","lwdown","relhum","pres","precip","windspeed","winddir","difrad","spchum"
"2029-01-01 00:00",7.44,0,358.77,99.7,98.6,0.3,3.264,53.4,0,0.0065
"2029-01-01 01:00",7.37,0,358.31,99.7,98.6,0.3,3.264,53.4,0,0.0065
"2029-01-01 02:00",7.31,0,357.9,99.7,98.6,0.3,3.264,53.4,0,0.0064
"2029-01-01 03:00",7.25,0,357.53,99.7,98.6,0.3,3.264,53.4,0,0.0064
"2029-01-01 04:00",7.2,0,357.2,99.7,98.6,0.3,3.264,53.4,0,0.0064
"2029-01-01 05:00",7.15,0,356.9,99.7,98.6,0.3,3.264,53.4,0,0.0064
"2029-01-01 06:00",7.11,0,356.63,99.7,98.6,0.3,3.264,53.4,0,0.0063
"2029-01-01 07:00",7.07,0,356.39,99.7,98.6,0.3,3.264,53.4,0,0.0063
"2029-01-01 08:00",7.04,0,356.18,99.7,98.6,0.3,3.264,53.4,0,0.0063
"2029-01-01 09:00",7.83,19.52,361.23,99.7,98.6,0.3,3.264,53.4,19.5,0.0067
"2029-01-01 10:00",8.74,39.04,366.02,94,98.6,0.3,3.264,53.4,39,0.0067
"2029-01-01 11:00",9.46,51.35,369.76,89.6,98.6,0.3,3.264,53.4,51.3,0.0067
"2029-01-01 12:00",9.9,56.22,372.09,87.1,98.6,0.3,3.049,54.1,56.2,0.0067
"2029-01-01 13:00",10.02,52.89,372.73,86.5,98.6,0.3,2.835,54.9,52.9,0.0067
"2029-01-01 14:00",9.8,41.4,371.59,87.8,98.6,0.3,2.621,55.9,41.4,0.0067
"2029-01-01 15:00",9.26,22.21,368.8,91.2,98.5,0.3,2.409,57,22.2,0.0067
"2029-01-01 16:00",8.47,0,364.67,96.3,98.5,0.2,2.197,58.3,0,0.0067
"2029-01-01 17:00",8.24,0,363.51,97.9,98.5,0.2,1.987,59.8,0,0.0067
"2029-01-01 18:00",8.06,0,362.62,99.2,98.5,0.2,1.779,61.8,0,0.0068
"2029-01-01 19:00",7.91,0,361.71,99.7,98.4,0.2,1.565,64.2,0,0.0067
"2029-01-01 20:00",7.76,0,360.79,99.7,98.4,0.2,1.365,67.4,0,0.0067
"2029-01-01 21:00",7.63,0,359.96,99.7,98.4,0.2,1.171,71.7,0,0.0066
"2029-01-01 22:00",7.51,0,359.21,99.7,98.4,0.2,0.987,77.5,0,0.0065
"2029-01-01 23:00",7.41,0,358.52,99.7,98.3,0.2,0.82,86,0,0.0065
"2029-01-02 00:00",8.02,0,357.29,99.7,98.1,0.2,1.171,98.4,0,0.0068
"2029-01-02 01:00",7.97,0,356.96,99.7,98.1,0.2,1.018,116.2,0,0.0068
"2029-01-02 02:00",7.92,0,356.67,99.7,98.1,0.2,0.98,138.1,0,0.0067
"2029-01-02 03:00",7.88,0,356.4,99.7,98.1,0.2,1.018,158.8,0,0.0067
"2029-01-02 04:00",7.84,0,356.17,99.7,98,0.2,1.206,174.4,0,0.0067
"2029-01-02 05:00",7.81,0,355.96,99.7,98,0.2,1.458,185.1,0,0.0067
"2029-01-02 06:00",7.78,0,355.77,99.7,98,0.2,1.746,192.4,0,0.0067
"2029-01-02 07:00",7.75,0,355.6,99.7,98,0.2,2.054,197.5,0,0.0067
"2029-01-02 08:00",7.73,0,355.45,99.7,97.9,0.2,2.375,201.3,0,0.0067
"2029-01-02 09:00",9.51,23.5,366.07,95.7,97.9,0.2,2.661,204.1,23.3,0.0072
"2029-01-02 10:00",9.96,47.3,368.43,93,97.9,0.2,2.99,206.4,47.1,0.0072
"2029-01-02 11:00",10.28,62.64,370.11,91.1,97.9,0.2,3.323,208.1,62.4,0.0072
"2029-01-02 12:00",10.41,67.8,370.58,89.2,97.9,0.2,2.984,208.4,67.6,0.0072
"2029-01-02 13:00",10.33,63.11,369.91,88.6,97.9,0.2,2.645,208.7,62.9,0.0071
"2029-01-02 14:00",10.02,48.95,368.05,89.4,97.9,0.2,2.307,209.1,48.7,0.007
"2029-01-02 15:00",9.49,26.21,365.07,91.4,97.9,0.2,1.968,209.7,26,0.0069
"2029-01-02 16:00",8.78,0,361.19,94.7,97.9,0.2,1.63,210.5,0,0.0068
"2029-01-02 17:00",8.44,0,359.18,95.7,97.9,0.2,1.292,211.7,0,0.0067
"2029-01-02 18:00",8.13,0,357.4,96.4,97.9,0.2,0.971,213.8,0,0.0066
"2029-01-02 19:00",7.84,0,355.68,97,97.9,0.2,0.631,218.2,0,0.0065
"2029-01-02 20:00",7.56,0,354.02,97.5,98,0.2,0.317,232.5,0,0.0064
"2029-01-02 21:00",7.29,0,352.42,98,98,0.2,0.288,326.7,0,0.0064
"2029-01-02 22:00",7.03,0,350.86,98.4,98,0.2,0.49,8.5,0,0.0063
"2029-01-02 23:00",6.78,0,349.35,98.7,98,0.2,0.787,16.1,0,0.0062
"2029-01-03 00:00",2.65,0,333.73,99.6,98,0.2,0.861,18.9,0,0.0047
"2029-01-03 01:00",2.5,0,332.83,99.6,98,0.2,1.184,20.6,0,0.0046
"2029-01-03 02:00",2.37,0,332.04,99.6,98,0.2,1.43,21.6,0,0.0046
"2029-01-03 03:00",2.25,0,331.33,99.6,98,0.2,1.704,22.3,0,0.0045
"2029-01-03 04:00",2.14,0,330.71,99.6,98,0.2,2.126,22.8,0,0.0045
"2029-01-03 05:00",2.05,0,330.15,99.6,98,0.2,2.421,23.1,0,0.0045
"2029-01-03 06:00",1.97,0,329.66,99.6,98,0.2,2.716,23.4,0,0.0045
"2029-01-03 07:00",1.89,0,329.22,99.6,98,0.1,3.011,23.7,0,0.0044
"2029-01-03 08:00",1.83,0,328.83,99.6,98,0.1,3.092,23.9,0,0.0044
"2029-01-03 09:00",3.74,20.27,339.9,96.9,98.1,0.1,3.369,24,20.3,0.0049
"2029-01-03 10:00",5.24,40.27,347.06,85.8,98.1,0.1,3.645,24.2,40.3,0.0048
"2029-01-03 11:00",6.43,52.73,352.72,77.6,98.1,0.1,3.921,24.3,52.7,0.0047
"2029-01-03 12:00",7.18,60.05,356.35,73.2,98.1,0.1,3.915,22.8,60,0.0047
"2029-01-03 13:00",7.39,58.72,357.31,71.5,98.2,0.1,3.64,21,58.6,0.0047
"2029-01-03 14:00",7.05,47.84,355.43,72.5,98.2,0.1,3.15,19,47.7,0.0046
"2029-01-03 15:00",6.18,27.06,350.86,76.4,98.3,0.1,2.901,16.6,26.9,0.0046
"2029-01-03 16:00",4.85,0,344.05,83.1,98.4,0.1,2.645,13.8,0,0.0045
"2029-01-03 17:00",4.27,0,341.05,85.8,98.4,0.1,2.468,10.4,0,0.0045
"2029-01-03 18:00",3.82,0,338.7,87.7,98.5,0.1,2.238,6.3,0,0.0045
"2029-01-03 19:00",3.41,0,336.55,89.5,98.5,0.1,1.891,1.3,0,0.0044
"2029-01-03 20:00",3.03,0,334.57,91.1,98.6,0.1,1.834,355.1,0,0.0044
"2029-01-03 21:00",2.68,0,332.74,92.5,98.6,0.1,1.761,347.6,0,0.0043
"2029-01-03 22:00",2.36,0,331.04,93.8,98.7,0.1,1.615,338.5,0,0.0043
"2029-01-03 23:00",2.07,0,329.46,94.9,98.7,0.1,1.516,328,0,0.0042
"2029-01-04 00:00",1.11,0,301.76,99.6,98.9,0.1,1.33,316.6,0,0.0041
"2029-01-04 01:00",1.08,0,301.57,99.6,99,0.1,1.345,304.9,0,0.0041
"2029-01-04 02:00",1.05,0,301.4,99.6,99,0.1,1.334,293.9,0,0.0041
"2029-01-04 03:00",1.02,0,301.24,99.6,99.1,0.1,1.443,284.3,0,0.0041
"2029-01-04 04:00",0.99,0,301.09,99.5,99.1,0.1,1.587,276.2,0,0.0041
"2029-01-04 05:00",0.97,0,300.93,99.3,99.2,0,1.757,269.7,0,0.0041
"2029-01-04 06:00",0.95,0,300.78,99,99.2,0,1.947,264.3,0,0.0041
"2029-01-04 07:00",0.93,0,300.56,98.1,99.3,0,2.151,259.9,0,0.004
"2029-01-04 08:00",0.92,0,300.33,97.2,99.4,0,2.365,256.3,0,0.004
"2029-01-04 09:00",2.27,43.49,306.13,87.4,99.4,0,2.587,253.3,36.4,0.0039
"2029-01-04 10:00",2.57,88.63,307.31,84.6,99.5,0,2.816,250.8,74.9,0.0039
"2029-01-04 11:00",2.77,119.24,308.06,82.5,99.5,0,3.049,248.7,101.7,0.0038
"2029-01-04 12:00",2.85,130.68,308.29,81.4,99.6,0,2.908,249.5,111.8,0.0038
"2029-01-04 13:00",2.77,123.33,307.82,81.1,99.6,0,2.767,250.5,104.4,0.0038
"2029-01-04 14:00",2.53,97.31,306.65,81.8,99.7,0,2.628,251.5,80,0.0037
"2029-01-04 15:00",2.14,53.78,304.81,83.4,99.7,0,2.489,252.7,42.1,0.0037
"2029-01-04 16:00",1.63,0,302.42,85.8,99.8,0,2.352,254,0,0.0037
"2029-01-04 17:00",1.37,0,301.16,86.6,99.8,0,2.216,255.5,0,0.0036
"2029-01-04 18:00",1.15,0,300.09,87.2,99.9,0,2.082,257.1,0,0.0036
